"vars","pval","adjp","odds","exp","obs","size"
"GDP",0.537765621712603,1,0,0.530612244897959,0,26
"pop_Total",0.552913949084789,1,0,0.510204081632653,0,25
"pop_Y15-24",0.552913949084789,1,0,0.510204081632653,0,25
"pop_Y25-64",0.552913949084789,1,0,0.510204081632653,0,25
"pop_Y65-74",0.552913949084789,1,0,0.510204081632653,0,25
"pop_YGE75",0.552913949084789,1,0,0.510204081632653,0,25
"emp_Y25-64_ED3-4",0.552913949084789,1,0,0.510204081632653,0,25
"emp_Y25-64_ED5-8",0.552913949084789,1,0,0.510204081632653,0,25
"emp_TF",0.552913949084789,1,0,0.510204081632653,0,25
"emp_TP",0.552913949084789,1,0,0.510204081632653,0,25
"emp_Y25-64",0.552913949084789,1,0,0.510204081632653,0,25
"emp_Y25-64_NaceB-E",0.552913949084789,1,0,0.510204081632653,0,25
"emp_Y25-64_NaceO-Q",0.552913949084789,1,0,0.510204081632653,0,25
"emp_Y25-64_NaceR-U",0.552913949084789,1,0,0.510204081632653,0,25
"training",0.552913949084789,1,0,0.510204081632653,0,25
"emp_Y15-24_ED0-2",0.568272669892699,1,0,0.489795918367347,0,24
"emp_Y15-24_ED3-4",0.568272669892699,1,0,0.489795918367347,0,24
"emp_Y15-24",0.568272669892699,1,0,0.489795918367347,0,24
"emp_YGE65",0.568272669892699,1,0,0.489795918367347,0,24
"emp_Y25-64_NaceJ",0.568272669892699,1,0,0.489795918367347,0,24
"emp_Y25-64_NaceK",0.568272669892699,1,0,0.489795918367347,0,24
"emp_Y25-64_NaceM_N",0.568272669892699,1,0,0.489795918367347,0,24
"disp_income",0.568272669892699,1,0,0.489795918367347,0,24
"emp_Y15-24_NaceB-E",0.583841784136335,1,0,0.469387755102041,0,23
"emp_Y15-24_NaceO-Q",0.583841784136335,1,0,0.469387755102041,0,23
"emp_Y15-24_NaceF",0.615611192930781,1,0,0.428571428571429,0,21
"emp_Y15-24_NaceM_N",0.615611192930781,1,0,0.428571428571429,0,21
"GVAgr",0.68167473174837,1,0,0.346938775510204,0,17
"rooms_pp",0.751104565537555,1,0,0.26530612244898,0,13
"emp_Y15-24_NaceJ",0.751104565537555,1,0,0.26530612244898,0,13
"ARPR_socexcl",0.787081843046497,1,0,0.224489795918367,0,11
"ARPR",0.805386071954555,1,0,0.204081632653061,0,10
"low_work",0.805386071954555,1,0,0.204081632653061,0,10
"mat_depriv",0.805386071954555,1,0,0.204081632653061,0,10
"emp_Y15-24_NaceK",0.805386071954555,1,0,0.204081632653061,0,10
"emp_Y25-64_ED0-2",0.936881969282558,1,3,0.510204081632653,1,25
"emp_Y25-64_NaceF",0.936881969282558,1,3,0.510204081632653,1,25
"emp_Y25-64_NaceG-I",0.936881969282558,1,3,0.510204081632653,1,25
"emp_Y25-64_NaceA",0.946770460761624,1,3.36363636363636,0.469387755102041,1,23
"emp_Y15-24_NaceL",0.959394066905113,1,0,0.0408163265306122,0,2
"emp_Y15-24_NaceA",0.977908689248895,1,5.85714285714286,0.306122448979592,1,15
"pop_Y0-14",1,1,Inf,0.510204081632653,2,25
"emp_Y15-24_ED5-8",1,1,Inf,0.448979591836735,2,22
"emp_Y15-24_NaceG-I",1,1,Inf,0.489795918367347,2,24
"emp_Y25-64_NaceL",1,1,Inf,0.428571428571429,2,21
"emp_Y15-24_NaceR-U",1,1,Inf,0.428571428571429,2,21
"unemp_Y15-24",1,1,Inf,0.489795918367347,2,24
"unemp_YGE25",1,1,Inf,0.489795918367347,2,24
