"vars","pval","adjp","odds","exp","obs","size"
"emp_Y25-64_NaceB-E",0.199275362318841,1,Inf,0.199275362318841,1,55
"emp_Y25-64_NaceF",0.199275362318841,1,Inf,0.199275362318841,1,55
"pop_Y65-74",0.202898550724638,1,Inf,0.202898550724638,1,56
"pop_YGE75",0.202898550724638,1,Inf,0.202898550724638,1,56
"emp_Y25-64_ED0-2",0.202898550724638,1,Inf,0.202898550724638,1,56
"emp_Y25-64_ED3-4",0.202898550724638,1,Inf,0.202898550724638,1,56
"emp_Y25-64_NaceG-I",0.202898550724638,1,Inf,0.202898550724638,1,56
"pop_Total",1,1,0,0.202898550724638,0,56
"pop_Y0-14",1,1,0,0.202898550724638,0,56
"pop_Y15-24",1,1,0,0.202898550724638,0,56
"pop_Y25-64",1,1,0,0.202898550724638,0,56
"ARPR",1,1,0,0.0615942028985507,0,17
"low_work",1,1,0,0.0652173913043478,0,18
"rooms_pp",1,1,0,0.0688405797101449,0,19
"mat_depriv",1,1,0,0.0652173913043478,0,18
"ARPR_socexcl",1,1,0,0.0652173913043478,0,18
"emp_Y15-24_ED0-2",1,1,0,0.173913043478261,0,48
"emp_Y15-24_ED3-4",1,1,0,0.195652173913043,0,54
"emp_Y15-24_ED5-8",1,1,0,0.144927536231884,0,40
"emp_Y25-64_ED5-8",1,1,0,0.202898550724638,0,56
"emp_FT",1,1,0,0.202898550724638,0,56
"emp_PT",1,1,0,0.202898550724638,0,56
"emp_Y15-24",1,1,0,0.199275362318841,0,55
"emp_Y25-64",1,1,0,0.202898550724638,0,56
"emp_YGE65",1,1,0,0.184782608695652,0,51
"emp_Y15-24_NaceA",1,1,0,0.0543478260869565,0,15
"emp_Y25-64_NaceA",1,1,0,0.181159420289855,0,50
"emp_Y15-24_NaceB-E",1,1,0,0.16304347826087,0,45
"emp_Y15-24_NaceF",1,1,0,0.123188405797101,0,34
"emp_Y15-24_NaceG-I",1,1,0,0.192028985507246,0,53
"emp_Y15-24_NaceJ",1,1,0,0.0398550724637681,0,11
"emp_Y25-64_NaceJ",1,1,0,0.177536231884058,0,49
"emp_Y15-24_NaceK",1,1,0,0.0289855072463768,0,8
"emp_Y25-64_NaceK",1,1,0,0.188405797101449,0,52
"emp_Y15-24_NaceL",1,1,0,0.0072463768115942,0,2
"emp_Y25-64_NaceL",1,1,0,0.119565217391304,0,33
"emp_Y15-24_NaceM_N",1,1,0,0.123188405797101,0,34
"emp_Y25-64_NaceM_N",1,1,0,0.199275362318841,0,55
"emp_Y15-24_NaceO-Q",1,1,0,0.155797101449275,0,43
"emp_Y25-64_NaceO-Q",1,1,0,0.202898550724638,0,56
"emp_Y15-24_NaceR-U",1,1,0,0.105072463768116,0,29
"emp_Y25-64_NaceR-U",1,1,0,0.199275362318841,0,55
"unemp_Y15-24",1,1,0,0.188405797101449,0,52
"unemp_YGE25",1,1,0,0.199275362318841,0,55
"GDP",1,1,0,0.202898550724638,0,56
"GVAgr",1,1,0,0.0797101449275362,0,22
"disp_income",1,1,0,0.210144927536232,0,58
"training",1,1,0,0.199275362318841,0,55
"earn_OC1_B-F",1,1,0,0.213768115942029,0,59
"earn_OC2_B-F",1,1,0,0.192028985507246,0,53
"earn_OC3_B-F",1,1,0,0.213768115942029,0,59
"earn_OC4_B-F",1,1,0,0.213768115942029,0,59
"earn_OC5_B-F",1,1,0,0.188405797101449,0,52
"earn_OC6_B-F",1,1,0,0.105072463768116,0,29
"earn_OC7_B-F",1,1,0,0.213768115942029,0,59
"earn_OC8_B-F",1,1,0,0.213768115942029,0,59
"earn_OC9_B-F",1,1,0,0.213768115942029,0,59
"earn_OC1_G-N",1,1,0,0.192028985507246,0,53
"earn_OC2_G-N",1,1,0,0.192028985507246,0,53
"earn_OC3_G-N",1,1,0,0.192028985507246,0,53
"earn_OC4_G-N",1,1,0,0.213768115942029,0,59
"earn_OC5_G-N",1,1,0,0.213768115942029,0,59
"earn_OC6_G-N",1,1,0,0.155797101449275,0,43
"earn_OC7_G-N",1,1,0,0.213768115942029,0,59
"earn_OC8_G-N",1,1,0,0.217391304347826,0,60
"earn_OC9_G-N",1,1,0,0.213768115942029,0,59
"earn_OC1_P-S",1,1,0,0.213768115942029,0,59
"earn_OC2_P-S",1,1,0,0.195652173913043,0,54
"earn_OC3_P-S",1,1,0,0.213768115942029,0,59
"earn_OC4_P-S",1,1,0,0.213768115942029,0,59
"earn_OC5_P-S",1,1,0,0.213768115942029,0,59
"earn_OC6_P-S",1,1,0,0.16304347826087,0,45
"earn_OC7_P-S",1,1,0,0.213768115942029,0,59
"earn_OC8_P-S",1,1,0,0.188405797101449,0,52
"earn_OC9_P-S",1,1,0,0.213768115942029,0,59
"expend_ED5-8",1,1,0,0.210144927536232,0,58
