"unit";"sex";"age";"nace_r2";"isco08";"indic_em";"geo";"X2014"
"NR";"T";"TOTAL";"C";"TOTAL";"JOBTOT";"FI";315434
"NR";"T";"TOTAL";"D";"TOTAL";"JOBTOT";"FI";NA
"NR";"T";"TOTAL";"E";"TOTAL";"JOBTOT";"FI";NA
"NR";"T";"TOTAL";"F";"TOTAL";"JOBTOT";"FI";154109
"NR";"T";"TOTAL";"G";"TOTAL";"JOBTOT";"FI";268302
"NR";"T";"TOTAL";"H";"TOTAL";"JOBTOT";"FI";130677
"NR";"T";"TOTAL";"I";"TOTAL";"JOBTOT";"FI";83794
"NR";"T";"TOTAL";"J";"TOTAL";"JOBTOT";"FI";81177
"NR";"T";"TOTAL";"K";"TOTAL";"JOBTOT";"FI";NA
"NR";"T";"TOTAL";"L";"TOTAL";"JOBTOT";"FI";NA
"NR";"T";"TOTAL";"M";"TOTAL";"JOBTOT";"FI";146255
"NR";"T";"TOTAL";"N";"TOTAL";"JOBTOT";"FI";146205
"NR";"T";"TOTAL";"O";"TOTAL";"JOBTOT";"FI";109134
"NR";"T";"TOTAL";"P";"TOTAL";"JOBTOT";"FI";182904
"NR";"T";"TOTAL";"Q";"TOTAL";"JOBTOT";"FI";326944
"NR";"T";"TOTAL";"R";"TOTAL";"JOBTOT";"FI";NA
"NR";"T";"TOTAL";"S";"TOTAL";"JOBTOT";"FI";NA
"NR";"T";"TOTAL";"A";"OC0";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"A-S";"OC0";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"B";"OC0";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"B-S";"OC0";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"C";"OC0";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"D";"OC0";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"E";"OC0";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"F";"OC0";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"G";"OC0";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"H";"OC0";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"I";"OC0";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"J";"OC0";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"K";"OC0";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"L";"OC0";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"M";"OC0";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"N";"OC0";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"O";"OC0";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"P";"OC0";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"Q";"OC0";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"R";"OC0";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"S";"OC0";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"A";"OC1";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"A-S";"OC1";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"B";"OC1";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"B-S";"OC1";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"C";"OC1";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"D";"OC1";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"E";"OC1";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"F";"OC1";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"G";"OC1";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"H";"OC1";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"I";"OC1";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"J";"OC1";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"K";"OC1";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"L";"OC1";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"M";"OC1";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"N";"OC1";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"O";"OC1";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"P";"OC1";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"Q";"OC1";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"R";"OC1";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"S";"OC1";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"A";"OC2";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"A-S";"OC2";"JOBTOT";"FI19";116772
"NR";"T";"TOTAL";"B";"OC2";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"B-S";"OC2";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"C";"OC2";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"D";"OC2";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"E";"OC2";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"F";"OC2";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"G";"OC2";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"H";"OC2";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"I";"OC2";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"J";"OC2";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"K";"OC2";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"L";"OC2";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"M";"OC2";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"N";"OC2";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"O";"OC2";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"P";"OC2";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"Q";"OC2";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"R";"OC2";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"S";"OC2";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"A";"OC3";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"A-S";"OC3";"JOBTOT";"FI19";98391
"NR";"T";"TOTAL";"B";"OC3";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"B-S";"OC3";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"C";"OC3";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"D";"OC3";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"E";"OC3";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"F";"OC3";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"G";"OC3";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"H";"OC3";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"I";"OC3";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"J";"OC3";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"K";"OC3";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"L";"OC3";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"M";"OC3";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"N";"OC3";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"O";"OC3";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"P";"OC3";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"Q";"OC3";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"R";"OC3";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"S";"OC3";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"A";"OC4";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"A-S";"OC4";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"B";"OC4";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"B-S";"OC4";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"C";"OC4";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"D";"OC4";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"E";"OC4";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"F";"OC4";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"G";"OC4";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"H";"OC4";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"I";"OC4";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"J";"OC4";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"K";"OC4";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"L";"OC4";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"M";"OC4";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"N";"OC4";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"O";"OC4";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"P";"OC4";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"Q";"OC4";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"R";"OC4";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"S";"OC4";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"A";"OC5";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"A-S";"OC5";"JOBTOT";"FI19";107632
"NR";"T";"TOTAL";"B";"OC5";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"B-S";"OC5";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"C";"OC5";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"D";"OC5";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"E";"OC5";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"F";"OC5";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"G";"OC5";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"H";"OC5";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"I";"OC5";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"J";"OC5";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"K";"OC5";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"L";"OC5";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"M";"OC5";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"N";"OC5";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"O";"OC5";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"P";"OC5";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"Q";"OC5";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"R";"OC5";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"S";"OC5";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"A";"OC6";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"A-S";"OC6";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"B";"OC6";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"B-S";"OC6";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"C";"OC6";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"D";"OC6";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"E";"OC6";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"F";"OC6";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"G";"OC6";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"H";"OC6";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"I";"OC6";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"J";"OC6";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"K";"OC6";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"L";"OC6";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"M";"OC6";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"N";"OC6";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"O";"OC6";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"P";"OC6";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"Q";"OC6";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"R";"OC6";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"S";"OC6";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"A";"OC7";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"A-S";"OC7";"JOBTOT";"FI19";65673
"NR";"T";"TOTAL";"B";"OC7";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"B-S";"OC7";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"C";"OC7";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"D";"OC7";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"E";"OC7";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"F";"OC7";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"G";"OC7";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"H";"OC7";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"I";"OC7";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"J";"OC7";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"K";"OC7";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"L";"OC7";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"M";"OC7";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"N";"OC7";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"O";"OC7";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"P";"OC7";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"Q";"OC7";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"R";"OC7";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"S";"OC7";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"A";"OC8";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"A-S";"OC8";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"B";"OC8";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"B-S";"OC8";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"C";"OC8";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"D";"OC8";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"E";"OC8";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"F";"OC8";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"G";"OC8";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"H";"OC8";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"I";"OC8";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"J";"OC8";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"K";"OC8";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"L";"OC8";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"M";"OC8";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"N";"OC8";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"O";"OC8";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"P";"OC8";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"Q";"OC8";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"R";"OC8";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"S";"OC8";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"A";"OC9";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"A-S";"OC9";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"B";"OC9";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"B-S";"OC9";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"C";"OC9";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"D";"OC9";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"E";"OC9";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"F";"OC9";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"G";"OC9";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"H";"OC9";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"I";"OC9";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"J";"OC9";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"K";"OC9";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"L";"OC9";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"M";"OC9";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"N";"OC9";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"O";"OC9";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"P";"OC9";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"Q";"OC9";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"R";"OC9";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"S";"OC9";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"A";"TOTAL";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"A-S";"TOTAL";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"B";"TOTAL";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"B-S";"TOTAL";"JOBTOT";"FI19";505103
"NR";"T";"TOTAL";"C";"TOTAL";"JOBTOT";"FI19";100315
"NR";"T";"TOTAL";"D";"TOTAL";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"E";"TOTAL";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"F";"TOTAL";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"G";"TOTAL";"JOBTOT";"FI19";57071
"NR";"T";"TOTAL";"H";"TOTAL";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"I";"TOTAL";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"J";"TOTAL";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"K";"TOTAL";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"L";"TOTAL";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"M";"TOTAL";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"N";"TOTAL";"JOBTOT";"FI19";32974
"NR";"T";"TOTAL";"O";"TOTAL";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"P";"TOTAL";"JOBTOT";"FI19";47131
"NR";"T";"TOTAL";"Q";"TOTAL";"JOBTOT";"FI19";81752
"NR";"T";"TOTAL";"R";"TOTAL";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"S";"TOTAL";"JOBTOT";"FI19";NA
"NR";"T";"TOTAL";"A";"OC0";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"A-S";"OC0";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"B";"OC0";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"B-S";"OC0";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"C";"OC0";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"D";"OC0";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"E";"OC0";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"F";"OC0";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"G";"OC0";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"H";"OC0";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"I";"OC0";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"J";"OC0";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"K";"OC0";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"L";"OC0";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"M";"OC0";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"N";"OC0";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"O";"OC0";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"P";"OC0";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"Q";"OC0";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"R";"OC0";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"S";"OC0";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"A";"OC1";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"A-S";"OC1";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"B";"OC1";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"B-S";"OC1";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"C";"OC1";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"D";"OC1";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"E";"OC1";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"F";"OC1";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"G";"OC1";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"H";"OC1";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"I";"OC1";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"J";"OC1";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"K";"OC1";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"L";"OC1";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"M";"OC1";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"N";"OC1";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"O";"OC1";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"P";"OC1";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"Q";"OC1";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"R";"OC1";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"S";"OC1";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"A";"OC2";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"A-S";"OC2";"JOBTOT";"FI1B";241228
"NR";"T";"TOTAL";"B";"OC2";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"B-S";"OC2";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"C";"OC2";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"D";"OC2";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"E";"OC2";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"F";"OC2";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"G";"OC2";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"H";"OC2";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"I";"OC2";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"J";"OC2";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"K";"OC2";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"L";"OC2";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"M";"OC2";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"N";"OC2";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"O";"OC2";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"P";"OC2";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"Q";"OC2";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"R";"OC2";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"S";"OC2";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"A";"OC3";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"A-S";"OC3";"JOBTOT";"FI1B";153401
"NR";"T";"TOTAL";"B";"OC3";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"B-S";"OC3";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"C";"OC3";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"D";"OC3";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"E";"OC3";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"F";"OC3";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"G";"OC3";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"H";"OC3";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"I";"OC3";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"J";"OC3";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"K";"OC3";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"L";"OC3";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"M";"OC3";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"N";"OC3";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"O";"OC3";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"P";"OC3";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"Q";"OC3";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"R";"OC3";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"S";"OC3";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"A";"OC4";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"A-S";"OC4";"JOBTOT";"FI1B";56452
"NR";"T";"TOTAL";"B";"OC4";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"B-S";"OC4";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"C";"OC4";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"D";"OC4";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"E";"OC4";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"F";"OC4";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"G";"OC4";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"H";"OC4";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"I";"OC4";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"J";"OC4";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"K";"OC4";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"L";"OC4";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"M";"OC4";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"N";"OC4";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"O";"OC4";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"P";"OC4";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"Q";"OC4";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"R";"OC4";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"S";"OC4";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"A";"OC5";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"A-S";"OC5";"JOBTOT";"FI1B";119500
"NR";"T";"TOTAL";"B";"OC5";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"B-S";"OC5";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"C";"OC5";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"D";"OC5";"JOBTOT";"FI1B";NA
"NR";"T";"TOTAL";"E";"OC5";"JOBTOT";"FI1B";NA
